,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11799,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19782331.0,19782331.0,False,,1,,,,2024-11-15T06:03:00.000Z,87798.03322886139,86274512462.41501,-26.6095,0.33890956,-2.55367841,15.53125393,30.7723747,49.73891441,48.38147158,1736849754482.3347,59.8402,1843758697806.09,,2024-11-15T06:03:00.000Z,,,,,,2024-11-14 22:05:30.926243
1,1027,Ethereum,ETH,ethereum,9551,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120420610.9480465,120420610.9480465,True,,2,,,,2024-11-15T06:03:00.000Z,3062.228298279616,34960657880.80808,-26.5398,1.08742386,-5.07024865,4.76264574,17.01118778,33.70939764,17.72003825,368755402541.22815,12.7048,368755402541.23,,2024-11-15T06:03:00.000Z,,,,,,2024-11-14 22:05:30.926243
2,825,Tether USDt,USDT,tether,103525,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,127284508523.66338,129835400280.00836,True,,3,,,,2024-11-15T06:03:00.000Z,1.000301979669397,182869375486.1836,-24.5382,0.00630817,-0.02361012,-0.02754017,0.04881023,0.03774694,0.00186895,127322945857.46672,4.3853,129874607931.26,,2024-11-15T06:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-11-14 22:05:30.926243
3,5426,Solana,SOL,solana,787,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,471972758.32861143,588321453.005927,True,,4,,,,2024-11-15T06:04:00.000Z,208.85458253573142,7687249831.31139,-29.8166,1.33607906,-4.60853455,4.83261632,35.4913002,59.26944629,49.64316555,98573673408.9598,3.3963,122873631464.37,,2024-11-15T06:04:00.000Z,,,,,,2024-11-14 22:05:30.926243
4,1839,BNB,BNB,bnb,2281,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144098949.80878422,144098949.80878422,False,,5,,,,2024-11-15T06:04:00.000Z,617.4316556594549,3416726358.324753,8.9573,0.87644464,-2.47408241,3.01030201,4.24215044,12.84389872,18.0927976,88971253159.22633,3.0636,88971253159.23,,2024-11-15T06:04:00.000Z,,,,,,2024-11-14 22:05:30.926243
5,74,Dogecoin,DOGE,dogecoin,1100,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146797256383.70523,146797256383.70523,True,,6,,,,2024-11-15T06:03:00.000Z,0.366259402429558,16116894590.69517,-29.6411,2.11452927,-7.24465479,84.17480001,209.64433872,259.59395009,262.94760654,53765875401.3945,1.8524,53765875401.39,,2024-11-15T06:03:00.000Z,,,,,,2024-11-14 22:05:30.926243
6,52,XRP,XRP,xrp,1424,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56931242174.0,99987013354.0,False,,7,,,,2024-11-15T06:04:00.000Z,0.8095502142250521,11126449662.482792,72.3503,0.11791951,16.21015475,47.04550346,49.23584984,41.2497948,43.15120507,46088699298.06002,1.5874,80955021422.51,,2024-11-15T06:04:00.000Z,,,,,,2024-11-14 22:05:30.926243
7,3408,USDC,USDC,usd-coin,23076,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,36758611561.31523,36758611561.31523,False,,8,,,,2024-11-15T06:03:00.000Z,0.9999011921230863,14468562912.433598,-21.9983,-0.000706,-0.00303544,0.01220821,-0.00478927,-0.00485255,-0.00869649,36754979520.94856,1.2659,36754979520.95,,2024-11-15T06:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-11-14 22:05:30.926243
8,2010,Cardano,ADA,cardano,1349,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35018528521.677055,44994940907.64097,False,,9,,,,2024-11-15T06:04:00.000Z,0.6090548351732112,1818838206.0104976,-9.2508,3.01822232,5.5638911,40.34093754,71.10469364,81.74470138,84.91722581,21328204116.778416,0.7346,27407467582.79,,2024-11-15T06:04:00.000Z,,,,,,2024-11-14 22:05:30.926243
9,1958,TRON,TRX,tron,1067,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86387473878.81267,86387501884.71646,True,,10,,,,2024-11-15T06:04:00.000Z,0.17803392491388728,1024977153.9741747,-5.4424,0.69110265,-1.12972744,10.75536577,11.79357148,19.68327685,32.18252015,15379901038.040934,0.5296,15379906024.04,,2024-11-15T06:04:00.000Z,,,,,,2024-11-14 22:05:30.926243
10,5994,Shiba Inu,SHIB,shiba-inu,903,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589260517793883.1,589512469289587.2,False,,11,,,,2024-11-15T06:04:00.000Z,2.3431248194834923e-05,1959385758.2834575,-42.0749,2.2672684,-10.91656382,22.46969705,28.55237999,75.72637242,76.43809955,13807109443.845417,0.4756,13813012981.87,,2024-11-15T06:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-11-14 22:05:30.926243
11,11419,Toncoin,TON,toncoin,610,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2545758551.0451055,5115269512.529337,True,,12,3414166606.0,17920747546.21404,,2024-11-15T06:04:00.000Z,5.248937622059923,470145391.7786402,-13.6066,0.87195538,-3.79406837,7.48820845,0.75969447,-5.38644788,-19.81506013,13362527835.261412,0.46,26849730591.29,,2024-11-15T06:04:00.000Z,,,,,,2024-11-14 22:05:30.926243
12,5805,Avalanche,AVAX,avalanche,803,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,407350345.15047264,447353445.15047264,False,,13,,,,2024-11-15T06:04:00.000Z,31.564134688874375,822161276.0072839,-40.1642,1.69725915,-6.85198459,15.04094122,13.82678748,32.75856127,53.58643223,12857661159.888983,0.443,22591988969.91,,2024-11-15T06:04:00.000Z,,,,,,2024-11-14 22:05:30.926243
13,20947,Sui,SUI,sui,415,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,2845750695.583888,10000000000.0,False,,14,,,,2024-11-15T06:04:00.000Z,3.183473006520148,2047013231.1140625,-34.9,1.68923382,-9.09060267,37.10527806,55.5431448,197.0797317,288.32345176,9059370522.677242,0.3121,31834730065.2,,2024-11-15T06:04:00.000Z,,,,,,2024-11-14 22:05:30.926243
14,24478,Pepe,PEPE,pepe,472,2023-04-17T06:18:08.000Z,['memes'],420690000000000.0,420689899999994.8,420689899999994.8,False,,15,,,,2024-11-15T06:04:00.000Z,1.9685196419412214e-05,11169837796.60746,-45.4937,1.04093844,-17.20013242,80.00680673,90.73960191,170.17859313,171.73521758,8281363313.162781,0.2852,8281365281.68,,2024-11-15T06:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6982508145454ce325ddbe47a25d4ec3d2311933,2024-11-14 22:05:30.926243
